gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000544	0.1141582	0.0003377282	0.08245831	0.8291495	1
ENSMUSG00000000552	71.74421	0.001003659	0.0774413	0.9376027	1
ENSMUSG00000000555	45.25267	0.01277139	0.07801234	0.2537394	1
ENSMUSG00000000560	499.2343	-0.00668776	0.07192512	0.8064017	1
ENSMUSG00000000561	371.4399	-0.06440335	0.06663901	0.0743285	1
ENSMUSG00000000562	5.270859	0.002974762	0.07847304	0.6549133	1
ENSMUSG00000000563	1088.493	0.009158191	0.06854852	0.7724138	1
ENSMUSG00000000567	103.692	0.04486578	0.07775665	0.0270932	1
ENSMUSG00000000568	912.8582	0.0407571	0.07160095	0.1739035	1
ENSMUSG00000000579	56.71413	-0.03709081	0.07713587	0.05959419	1
ENSMUSG00000000581	246.9669	0.02655704	0.07123593	0.3638268	1
ENSMUSG00000000594	259.3683	-0.06004096	0.0688508	0.08069524	1
ENSMUSG00000000600	650.3118	0.08309302	0.07173204	0.01583382	0.910631
ENSMUSG00000000605	1216.878	-0.008876985	0.06635119	0.7918759	1
ENSMUSG00000000627	159.6945	-0.02061288	0.07478222	0.3628577	1
ENSMUSG00000000628	22.4021	0.002423614	0.07706023	0.8674443	1
ENSMUSG00000000631	1051.101	-0.02545035	0.06910206	0.4217315	1
ENSMUSG00000000632	1850.396	0.02832216	0.07518976	0.2109236	1
ENSMUSG00000000673	0.8086031	0.0001177449	0.07951781	0.9613697	1
ENSMUSG00000000682	5.48929	0.003757762	0.07834184	0.6261151	1
ENSMUSG00000000686	9.267602	0.01078028	0.07838745	0.2233865	1
ENSMUSG00000000690	0.04352309	0	0.08222491	1	1
ENSMUSG00000000693	23.95024	-0.01777315	0.07729229	0.240796	1
ENSMUSG00000000706	0.7553126	-0.002960062	0.08220494	0.239403	1
ENSMUSG00000000708	321.7361	0.02532243	0.06480547	0.4707374	1
ENSMUSG00000000711	858.337	0.001069118	0.06698143	0.9742012	1
ENSMUSG00000000724	0.2199919	0	0.08222491	1	1
ENSMUSG00000000730	0.112619	0.0006894316	0.08317778	0.6625121	1
ENSMUSG00000000731	0.4760497	0.001594904	0.08050393	0.4889836	1
ENSMUSG00000000732	21.13905	-0.007732451	0.07748012	0.5519846	1
ENSMUSG00000000738	232.5271	-0.0196721	0.06914978	0.5303925	1
ENSMUSG00000000739	0.4925585	0.0001029557	0.08093533	0.9538975	1
ENSMUSG00000000740	1611.408	-0.002063425	0.0652128	0.9521919	1
ENSMUSG00000000743	463.6865	-0.02731301	0.06531413	0.4333606	1
ENSMUSG00000000751	316.9118	-0.03248617	0.06795368	0.32693	1
ENSMUSG00000000753	27.42424	0.01229622	0.0766859	0.458417	1
ENSMUSG00000000759	371.6624	-0.05834732	0.06801073	0.09393013	1
